"First Name","Last Name","National Geographic Titles","Residential Country","Professions","Specialities","Photography Skills","Brand Preferences","Brand Affiliation","Mini Bio","Hobbies","Charity Interests","Instagram","Website","Photography Genres"
"Moe","Cason","","","Chef","","","","","","","","https://www.instagram.com/bigmoecason/","https://moecasonbbq.com/",""
"Jimmy","Chin","Explorer & Photographer","United States","Adventurer; Mountaineer; Photographer","Filmmaker, Director, Producer, Photographer, Alpine Climber, Skier","Alpine Climbing; Drone; On Camera Appearances; Rock Climbing; Skiing; Studio Lighting; Time Exposure; Video","","The North Face, Panerai, Yeti, Hanah, Momentous, Ford, Stance, Canon","Few photographers will attempt Pakistan's precipitous K7 or ski from the summit of Everest just to frame a shot.  So when world-renowned mountaineer Ed Viesturs pushes for the summit of his final 8,000-meter peak, or when alpinist Conrad Anker plans to put up a new route in the Himalaya, they call the same photographer and filmmaker: Jimmy Chin.  Arguably one of the most sought after expedition photographers working today, Chin, a Minnesota native, is himself a professional climber, skier, and ten-year veteran of the North Face Athlete Team.","Surfing","","https://www.instagram.com/jimmychin","https://www.jimmychin.com/","Adventure; Aerial; Culture; Documentary; Environment; Landscape; Portraiture; Travel; Wildlife"
"Laurel","Chor","Explorer & Photographer","United Kingdom","Athlete; Conservationist; Diver; Geographer; Journalist; Photographer; Writer","Rugby 
Animal geography","Diving; Drone; Macro; On Camera Appearances; Video","","","Laurel Chor is an Emmy-nominated freelance journalist, photographer, filmmaker, and National Geographic Explorer from Hong Kong. 

She has reported from more than 20 countries. Her TV presenting and producing work has appeared on VICE News, HBO, Al Jazeera, and Showtime, while she has photographed or written for the New York Times, National Geographic, Getty, AFP, Reuters, the Guardian, the Washington Post, the LA Times, and more. She has been a guest on numerous radio and TV shows for BBC, CTV, Euronews, ITV, CBC, TRT amongst others. In 2020, she was named an honoree for the IWMF Anja Niedringhaus Courage in Photojournalism award. 

Her work often looks at the different ways people relate to nature: whether it?s how Hong Kong urbanites coexist with their city?s wildlife, how animal parts are used in traditional Chinese medicine, or how indigenous people in the Central African Republic view their ancestral forests. She is currently a masters student in Biodiversity, Conservation & Management at the University of Oxford, where her research looks at human-manta ray relations around the world. 

In the past, she has investigated the ivory trade in Central Africa and the jaguar trade in South America and Southeast Asia. She was the Executive Producer for Tigre Gente, a documentary that premiered at Tribeca Film Festival and was part of the official selection for Banff Mountain Film Festival. In 2013, Dr. Jane Goodall appointed her as an ambassador for the Jane Goodall Institute Hong Kong. 

An accomplished rugby player, she represented Hong Kong in the 2017 Rugby World Cup. She graduated from Georgetown University magna cum laude with a degree in International Health.","Play rugby, hike, dance","Jane Goodall Institute","Https://www.instagram.com/laurelchor","Https://www.laurelchor.com","Documentary; Travel; Underwater; Wildlife"
"Dan","Cogan","","","","","","","","Dan Cogan is one of the most prominent non-fiction producers working today. Both an Academy Award® and Emmy Award® winner, Dan founded Story Syndicate with Liz Garbus in 2019. Previously, Dan was the founding Executive Director of Impact Partners.","","","","https://www.storysyndicate.com/",""
"Nadia Shira","Cohen","Explorer & Photographer","Italy","Photographer","I work very intimately in peoples homes, entering into their lives in order to gain maximum trust and be able to document their lives.","Audio; Skiing; Time Exposure; Video","Not that I can think of, I?m open to all","None","Nadia Shira Cohen is a freelance photographer, writer and videographer contributing to the New York Times, National Geographic, Harpers and many international publications as well as working with non-profit organizations. She works frequently in Latin America as well as countries such as Haiti, Kazakhstan, Congo, Rwanda, and Kosovo, focusing on human rights, reproductive rights, environmental issues, disaster, revolution, and migration. Nadia was born in Boston in 1977.","I like to dance Forro (a Brazilian couples dance), read, run and I?m learning to sail. I?m also very passionate about food and wine.","Centro Cultural Comunitario Cecilia de Tinun, Agrupación en El Salvador","http://www.instagram.com/nadiashirachen","https://www.nadiashiracohen.com/","Culture; Documentary; Environment; Travel"
"Christian","Cooper","","","","Bird watching","","","","Central Park birder","","","","",""
"Benedict","Cumberbatch","","","Actor","","","","","Benedict Timothy Carlton Cumberbatch was born and raised in London, England. His parents, Wanda Ventham and Timothy Carlton (born Timothy Carlton Congdon Cumberbatch), are both actors. He is a grandson of submarine commander Henry Carlton Cumberbatch, and a great-grandson of diplomat Henry Arnold Cumberbatch CMG.","","","","",""
"William","Daniels","Explorer & Photographer","France","Artist; Journalist; Photographer","Documentary photographer","Drone; Video","Triumph Motorcyle.","I am Ambassador for Leica camera ( non exclusive).","French photographer William Daniels has dedicated himself to documenting vulnerable communities and places plagued by chronic instability.
 
In 2012, he publishes the book Faded Tulips, about Kyrgyzstan?s nascent and fragile developments toward democracy in the wake of the Tulip Revolution.

William took ten trips to the wartorn Central African Republic beginning in 2013. His work documenting the intractable violence in the former French colony was exhibited along the Seine during Paris? Nuit Blanche art festival in 2014, and in New York in 2016. The photographs were published in the book RCA.

His 2019 exhibition Wilting Point in Paris was a personal and intimate reflection on the fragile and ephemeral human condition. It combined images made in war zones (Middle East, Kashmir, Central African Republic, Central Asia, and on the Bangladesh-Myanmar border) with peaceful moments of natural splendor.

As a contributor to National Geographic Magazine, he spent several months working on a global story on vaccines, shot in seven countries. Other stories for the magazine include one on a medical train that crosses Siberia to provide healthcare to remote communities and another about Rohingya refugees in Bangladesh.

William?s work has won numerous recognitions including two World Press Awards, the Visa d?Or Award, the Tim Hetherington Grant, the Master award at the Festival of Ethical Photography and was supported 3 times by a National Geographic Society grant.","Snowboarding, kite surfing, Motor biking.","I have been collaborating closely with MSF (Doctors without borders), and collaborated several times with Médecins du Monde, Action Against Hunger, HRW, Amnesty International, ICRC, UNHCR.","https://www.instagram.com/williamodaniels/","https://www.williamdaniels.net","Culture; Documentary; Environment; Landscape; Portraiture; Science + Technology; Still Life; Travel"
"Filipe","DeAndrade","Explorer & Photographer","","Biologist; Photographer; Cinematographer","","","","","Brazilian born, adventure-addicted, and a passion for all things wild, Filipe jumped into uncertainty by solo-trekking the entire Appalachian Trail in 2012 after graduating from the University of Florida.  Since then, he?s become an Emmy wining Photographer, Director of Photography and Producer in NYC.  He has also worked on a two year Direct TV commercial project spanning 40 states as a Director of Photography.","","","https://www.instagram.com/filipe_deandrade/","",""
"Asha","de Vos","Explorer","","Marine Biologist","","","","","Growing up in Sri Lanka, Asha was taught from a young age that nothing is impossible. Now there is no roadblock that can stand in the way of this ambitious and hard-working scientist. She was among the first marine biologists to recognize that the blue whales around Sri Lanka were the only known non-migrating group of blue whales in the world. So she initiated a program to study and protect them. In an effort to protect the entire region?s sea life, Asha went on to co-found Sri Lanka?s first marine conservation research and education organization. Now she devotes her life to uncovering further ocean mysteries and inspiring young people around the world to always follow their dreams.","","Oceanswell (@OceanswellOrg)","https://www.instagram.com/ashadevos","",""
"Ricko","DeWilde","","","","","","","","","Hunting","","https://www.instagram.com/reeky_reeks","",""
"Leonardo","DiCaprio","","","","","","","","Leonardo DiCaprio is an award-winning actor and a three-time Academy Award® nominee.   DiCaprio?s 5th collaboration with Director Martin Scorsese ?The Wolf of Wall Street? is available on Blu-ray & DVD now.  DiCaprio starred as Jay Gatsby in ?The Great Gatsby?, directed by Baz Luhrmann.","","","Https://www.instagram.com/leonardodicaprio/","Https://www.leonardodicaprio.com",""
"Jasper","Doest","Photographer","Netherlands","Photographer","Anthrozoology, Human-wildlife studies, Systems Ecology","Camera Trapping; Drone; Infrared; On Camera Appearances; Studio Lighting; Video; Video: 360; Video: AR/VR","Dream Car: Landrover Defender / Porsche 911 / but really want to drive sustainable in the near future.
Airlines: Always try to fly KLM, but Delta Platinum member
Clothes: Fjallraven","Leica, KEEN Footwear","Dutch photographer Jasper Doest creates visual stories that explore the relationship between humankind and nature and is a contributing photographer to National Geographic magazine. 

Having majored in ecology, Doest knows human life depends on everything our planet has to offer, yet he recognizes the unsustainable nature of the current human patterns of consumption. 

As a true believer in the power of photography to initiate change, Doest is an International League of Conservation Photographers senior fellow and a World Wildlife Fund ambassador. His accolades include four World Press Photo Awards and in 2020 he was named European Wildlife Photographer of the Year.

Jasper frequently lectures on photography, conservation and global sustainability and has presented at venues such as the United Nations Climate Change Conference in Bonn and The Royal Geographical Society in London.","Riding my race bike, tea (making/tasting, preferably Japanese green tea), reading, listening music (audiophile who loves playing vinyl and also a spotify junky), playing music (although I?m not a professional music artist ;-)) dancing, going on adventure and travel with the kids, love learning new things, canoeing","WWF, my cousin's NGO FDOC (wildlife rescue & wildlife education in the Caribbean)","https://www.instagram.com/jasperdoest/","https://www.jasperdoest.com/","Aerial; Culture; Documentary; Environment; Landscape; Travel; Wildlife"
"Ronan","Donovan","Explorer & Photographer","United States","Adventurer; Athlete; Biologist; Conservationist; Ecologist; Educator; Influencer; Journalist; Mountaineer; Photographer; Researcher; Writer","I specialize in technically challenging visual stories in remote locations. Examples, high arctic expedition to film/photograph wild wolves and climbing trees to film wild chimps/eagles/owls. I am trained as a field biologist and continue to use those skills on my visual/media projects","Alpine Climbing; Audio; Camera Trapping; Drone; Infrared; Location Lighting; Macro; On Camera Appearances; Photogrammetry; Rock Climbing; Skiing; Studio Lighting; Time Exposure; Video; Video: 360; Video: AR/VR","Fjallraven clothing,  Tesla, Canon cameras, GoPro cameras, DJI drones","No","Born at home into the house his parents built in rural Vermont, Ronan Donovan has spent his adult years immersed in the natural world. A biologist turned photographer and filmmaker, Ronan strives to create visual stories that document the plight of our changing natural world. His stories for National Geographic include a 3-part TV series on Disney+ called Kingdom of the White Wolf that chronicles the lives of wild wolves living the Arctic. He has also had assignments from National Geographic Magazine on Yellowstone's wolves, when humans and chimps collide in Uganda and on the same family of Arctic wolves featured in the TV series.","I go backpacking, mountain biking, bird watching, skiing (alpine and cross country), hunting for deer and elk, and I explore the backcountry of Montana.","I am affiliated with the Diane Fossey Gorilla Fund International in Rwanda and the Bulindi Chimpanzee and Community Project in Uganda.","https://www.instagram.com/ronan_donovan/","","Adventure; Aerial; Documentary; Environment; Landscape; Portraiture; Science + Technology; Travel; Wildlife"
"David","Doubilet","Explorer & Photographer","","Photographer","","","","","David Doubilet is a photojournalist specializing in ocean environments. He is a contributing photographer and author for National Geographic Magazine producing over 70 feature publications ranging from equatorial coral reefs to life beneath the polar ice. David enters the sea as a journalist, artist and explorer to document both the beauty and the devastation in our oceans.","","","https://www.instagram.com/daviddoubilet","",""
"Ross","Edgley","","","Athlete","","","","","Ross Edgley is a British adventurer, ultra-marathon sea swimmer and author. Considered a leading expert on mental and physical fortitude, he holds multiple world records but is best known for becoming the first person in history to swim 1,780 miles all the way around Great Britain, completing it in 157 days.","","","https://www.instagram.com/rossedgley","https://rossedgley.com/",""
"Martin","Edström","Explorer & Photographer","Sweden","Adventurer; Journalist; Photographer; Technologist","Virtual reality and immersive storytelling, 3D capture","Alpine Climbing; Camera Trapping; Caving; Drone; Photogrammetry; Rock Climbing; Time Exposure; Video; Video: 360; Video: AR/VR","Nikon, Land Rover, Dell, Yeti, Dometic, Sony","Not exclusive, but project-based sponsorships with Dell, Arlo","Award-winning National Geographic Explorer and photographer Martin Edström uses interactive and immersive techniques?including 360-degree photography and interactive virtual reality?to tell the important stories of our time in moving and inspiring ways. Through numerous expeditions and exploration projects, Martin has brought audiences inside the wild and forgotten corners of the world?from threatened heritage sites like Socotra in Yemen, to prides of lions in the Zambian woodlands to the mammoth caverns of the largest cave in the world, Son Doong in Vietnam. In 2019, Martin was in charge of VR production on two large National Geographic expeditions to Mount Everest and along the river Ganges in India. He has won multiple awards for his innovative work.","Outdoor lifestyle, climbing, packrafting, kayaking, gaming, be with my son ?","Affiliated with Reporters without borders","https://www.instagram.com/martinedstrom/","https://martinedstrom.com","Adventure; Aerial; Culture; Documentary; Environment; Landscape; Science + Technology; Travel; Wildlife"
"Rena","Effendi","Photographer","Turkey","Artist; Journalist; Photographer; Writer","Photographer, artist, filmmaker, speaker, educator, writer, on camera talent","Audio; On Camera Appearances; Video","fashion brands: Stetson (hats), Florentini & Baker (shoes), Barbour (bags). 
Stationary: Midori notebooks 
Food&beverage: nespresso,","","Rena Effendi is an award-winning documentary photographer, whose early work focused on the human cost of oil. As a result, she followed an oil pipeline through Azerbaijan, Georgia and Turkey, collecting stories along the way. This work was published in 2009 in ""Pipe Dreams A chronicle of lives along the pipeline"". Effendi is a frequent contributor to the National Geographic magazine, and has worked on assignments for the New Yorker, New York Times, TIME and many others. Rena Effendi?s work has been shortlisted for the Prix Pictet twice in 2011 and 2019. Recipient of many international awards, such as the Prince Claus Fund Award for Culture and Development, World Press Photo, Getty Images Editorial Grant, Alexia Foundation Grant, her work has been exhibited worldwide at the Victoria & Albert Museum, Saatchi Gallery, Istanbul Modern and the 52nd Venice Biennial. Effendi is part of the cultural leaders network of the World Economic Forum.

As a result, she followed a 1,700 km oil pipeline through Azerbaijan, Georgia, and Turkey, collecting stories along the way.  This work was published in 2009 in her first book: ""Pipe Dreams A chronicle of lives along the pipeline"".","","","https://www.instagram.com/renaeffendiphoto/","https://www.refendi.com","Culture; Documentary; Environment; Landscape; Portraiture; Still Life; Travel"
"Yagazie","Emezi","Explorer & Photographer","United States","Photographer","Cultural Anthropology and African Studies","","","Canon Ambassador","Yagazie Emezi is a Nigerian artist and self-taught photojournalist focused on stories surrounding African women and their health, sexuality, education and human rights. Having worked extensively across Africa, Yagazie also covers stories on identity and culture, social justice, climate change and migration. 

Her art practice uses photography and sculpture to construct visual critiques of Nigeria's socio-political state and the roles media play in it, pulling from history and current events. 

She began her journey in 2015 and has since worked with Al-Jazeera, New York Times, Vogue, Newsweek, Inc. Magazine, TIME, The Guardian, Washington Post, National Geographic, Bloomberg Businessweek, The Weather Channel, New York Times Magazine and several not-for-profit organizations.  After ten months in Monrovia, Liberia (2017) documenting the impact of education for girls in at-risk communities, Yagazie returned to her ongoing project Re-learning Bodies which explores how trauma survivors, outside the narrative of violence and abuse, adapt to their new bodies while marking the absence of an effusive culture around body positivity as a noteworthy cultural phenomenon. Through 2018 - 2019, Yagazie documented patrols at sea through Liberia, Gabon and Namibia with the non-profit Sea Shepherd, recording government efforts to protect marine wildlife from Illegal, Unreported and Unregulated (IUU) activities.","drawing, traveling, gardening and food.","","https://www.instagram.com/yagazieemezi/","http://www.yagazieemezi.com","Adventure; Conceptual; Culture; Documentary; Environment; Portraiture; Travel"
"Ismail","Ferdous","Photographer","United States","Activist; Artist; Journalist; Photographer","Social, cultural, environmental and humanitarian","Audio; Camera Trapping; Drone; Infrared; Studio Lighting; Time Exposure; Video: 360; Video: AR/VR","ON , Hasselblad, synology cloud system, Rei, Fujifilm,","NO","Ismail Ferdous is a Bangladeshi photographer and filmmaker lives in New York City, who is interested in social, cultural and humanitarian stories of the contemporary world. A member of Agence VU? in Paris. He began photography while he was studying in business school in Dhaka. He decided to break his family tradition not work in business and pursued his carrier a professional photographer last 12 years. After the collapse of the Rana Plaza garment factory in Dhaka in 2013, one of the worst industrial disasters in Bangladesh?s history, which resulted in the deaths of more than 1,100 workers, Ferdous work made a plea against the devastating effects of the ?fast fashion? industry on the Bangladesh with his documentary film and photo projects ?The Cost of Fashion? and ?After Rana Plaza.? His curiosity about geography and migration influenced his prolific work on migrations and refugees over four continents which shows uniques human conditions and tells their stories. 

Ismail?s enjoyed working with important international newspapers, magazines and corporate clients. Some of his major clients are The New York Times Magazine, Geo Magazine, Washington Post, Le Monde M magazine, Hermes and many others. Since 2017 he is been a frequent contributor to National Geographic Magazine on many stories.

Ismail Ferdous?s work is been awarded for World Press Photo, Picture of the Year international, Alexa Foundation grant, Getty Images Instagram grant and many other major awards in photography.","Music","no","https://www.instagram.com/ismailferdous/","https://iferdous.com/","Aerial; Archaeology; Culture; Documentary; Environment; Portraiture; Science + Technology; Travel; Wildlife"
"Terrence","Ferguson","","USA","Veterinarian","","","","","Dr.  Terrence Ferguson is a native of Talbotton, Georgia.  His love of animals began as a child growing up in rural West Georgia.","WEBFORM - Round 1","","https://www.instagram.com/drferguson_critterfixer/","https://critterfixervet.com/",""
"Dwayne","Fields","","","Adventurer; Explorer; Naturalist","","","","","Born in Jamaica, Dwayne came to the UK at the age of six.  His formative years in the UK were in inner city London and, wrapped up in the world of street gangs, he became a victim of both knife and gun crime.  After a life threatening incident Dwayne made the decision to change his life? forever.","","","https://www.instagram.com/dwaynefields/?hl=en","http://www.dwayne-fields.com/",""
"Zoleka","Filander","","","Ecologist; Marine Biologist","","","","","Zoleka's path to ocean science was never an easy one. Raised by her grandparents in rural South Africa, Zoleka had always been passionate about science. When she went against her grandparent?s wishes and decided to study ocean science instead of medicine, they actually disowned Zoleka for several years, but that didn't keep Zoleka from pursuing her passion on her own. Against all odds, she has become a leader in the South African ocean research community. Zoleka has garnered several awards over the years for her contributions to marine science and for opening doors for other black women to enter the field. An expert at working as a bridge between scientists and local policy-makers, Zoleka has served as a scientist and expedition leader on countless research cruises off the coasts of South Africa, Mozambique, and Tanzania. Zoleka considers South Africa to be her family, and the Indian Ocean is her backyard.","Love of Planet","","","",""
"Lucas","Foglia","Explorer & Photographer","United States","Photographer; Writer","I love the fact that a photograph can be used in so many different ways. A book, to me, is the completion of a series. I exhibit prints of my photographs in galleries, festivals and museums, and publish the images in newspapers, magazines and social media. I also give copies to local and national organizations to use for advocacy. All are different methods of storytelling. I?m grateful for them, and I think there is art in each of those methods.","","","","Lucas Foglia is a photographer living in Berkeley, California. Foglia exhibits his work internationally in galleries, festivals, and museums. His prints are in public and private collections, including the International Center of Photography, San Francisco Museum of Modern Art, and Victoria and Albert Museum. His photographs have been published and reviewed in National Geographic, The New York Times, The New Yorker, and many others. 

Foglia also collaborates with non-profit organizations including Sierra Club and The Nature Conservancy. He is represented by Michael Hoppen Gallery in London, MiCamera in Milan, and Fredericks & Freiser Gallery in New York City. STANLEY/BARKER published his fourth book, Summer After, in September 2021.","Becoming friends with strangers, going to wild places, soaking in hot springs, swimming in cold water, dancing anytime anywhere. I love that I get to learn new things for a living.","Muso Health, Nature Conservancy, Sierra Club, Winrock International","https://www.instagram.com/lucasfogliaphoto/","http://lucasfoglia.com/","Adventure; Aerial; Architecture; Culture; Documentary; Environment; Landscape; Portraiture; Science + Technology; Still Life; Travel"
"Darren","Foster","","","","","","","","Darren Foster is a DuPont and Peabody Award-winning documentary filmmaker.  His latest film ""Science Fair,"" which he directed and produced with Cristina Costantini, won the 2018 Sundance Festival Favorite Award.  Darren was the series director of the critically-acclaimed ""Borderland"" series, where six ordinary Americans from different political persuasions walk in the shoes of migrants who died making the journey to the US.","","","","",""
